SAMPLE_ID,MPO_Score,Z_AUC 809387,Z_AUC 810089,Z_AUC 809405,Z_AUC average,Z_AUC 840907,Z_AUC 1036743,Z_AUC 803493,Z_AUC 787193,Z_AUC 783779
NCGC00095187,5.4,-0.2804821,-0.265651934,-0.702474314,-0.472403652,0.311464087,-1.994705381,-0.291829344,-0.427351203,-0.128199025
NCGC00390670,5.4,-0.397571322,-0.142147857,0.35488667,0.081367081,-0.316130429,0.26016321,0.511097604,-0.112455055,0.493093829
NCGC00384179,5.4,0.319551688,0.029673292,0.498356005,-0.062904516,0.002111468,-0.536411195,-0.673625589,0.188533166,-0.331424964
NCGC00161398,5.4,0.980349546,1.181587881,0.399700304,0.72570795,0.912980738,0.352880841,0.164205835,1.038820273,0.775138182
NCGC00386148,5.4,-0.300541367,-0.159957188,0.407927912,0.016416504,-0.208743969,0.544519873,0.010736475,-0.522915911,0.360306206
NCGC00161641,5.4,0.962346915,0.754909813,1.046363905,0.723597273,0.680701974,0.844510621,1.105354588,0.749395273,-0.354804907
NCGC00161634,5.4,-0.666888544,-0.67439442,-0.380614533,-0.11005564,-0.406077244,0.248833207,0.779283097,0.324869928,-0.105456607
NCGC00024683,5.4,-0.814073905,-0.715640246,-1.344008337,-0.672589273,-0.566024759,-0.529841784,0.079121346,-0.301047535,-1.189198966
NCGC00386195,5.4,0.535725256,0.549322884,0.643487556,0.42689204,0.327142309,0.66116209,-0.124662611,0.212972013,0.609986825
NCGC00510268,5.4,-0.857310878,-0.387634654,-0.266511211,-0.575069405,-1.054607537,-0.700283985,0.137824741,-0.834263475,-0.637768242
NCGC00164578,5.4,-0.199827173,-0.578533895,-0.335599563,-0.114931063,-0.53692993,-0.129790261,0.906287828,0.141849338,-0.186904851
NCGC00024929,5.4,0.389087461,-0.314594445,-0.775817337,-0.08300377,-0.469674856,-0.066339337,0.427375307,0.177592346,-0.031659297
NCGC00091455,5.3,-0.026818205,-0.567170663,-0.675404754,-0.240193912,-0.300089752,-0.197384051,0.295437764,-0.175704852,-0.274416782
